1882,99.76440535138592
1883,99.78831714177589
1884,99.70758135231229
1885,99.74943637010682
1886,99.78756160323893
1887,99.73755429375079
1888,99.75282872624858
1889,99.74254227940918
1890,98.97131004394276
1891,98.736271961368
1892,96.62278394660346
1893,57.19282066543587
1894,40.82287858511467
1895,37.32899074024273
1896,41.08111452658003
1897,37.880107685541184
1898,41.51637304241483
1899,45.12960680896321
1900,49.75826212924251
1901,47.56624315183965
1902,48.507262399057794
1903,45.84739609182675
1904,40.66280968453734
1905,38.326316640549095
1906,37.24901980087102
1907,34.42425333448913
1908,33.64893811432938
1909,34.20913048147425
1910,37.71208245253994
1911,35.64245628809711
1912,36.321163357074724
1913,36.357960548149194
1914,35.396546455204295
1915,34.92371862582776
1916,35.80030863271693
1917,40.25754108459466
1918,40.58993909246992
1919,40.3737927420268
1920,39.9505835467024
1921,38.075785254577966
1922,38.328203717364175
1923,37.45987463821196
1924,36.58767455508899
1925,34.97885325178978
1926,35.0211702837478
1927,36.175837940604225
1928,37.74444530615405
1929,37.31104902686243
1930,37.56078354431267
1931,38.25733070176139
1932,36.73792029015318
1933,38.643531739122615
1934,38.29739865621607
1935,39.21544174563675
1936,37.808669276922295
1937,40.205483740417094
1938,40.33478633961465
1939,41.28880618728204
1940,41.3393078276088
1941,41.854790946129555
1942,40.42181696532473
1943,41.591567761508806
1944,45.25826833446617
1945,49.288656260906805
1946,49.02368237763282
1947,49.05264035982837
1948,50.05820006236002
1949,50.69831754553425
1950,52.209909751348015
1951,52.727300109374596
1952,50.48576605283574
1953,49.72111940969014
1954,48.861749973209406
1955,49.27983474450522
1956,45.351057505835286
1957,45.281129776590205
1958,47.569478420174434
1959,46.37590190344291
1960,46.22263456954777
1961,47.28930316030386
1962,50.09948136221521
1963,47.180736296123094
1964,78.86482929080917
1965,47.87430503757635
1966,48.5814208080498
1967,47.64010990276595
1968,47.61463346746716
1969,46.37418356335303
1970,45.720698340221126
1971,44.56050790915112
1972,43.438906718863656
1973,38.37946174927146
1974,39.66488417363842
1975,40.765104717174296
1976,38.34156294736235
1977,37.041463655174276
1978,28.66258260897652
1979,26.556035187454345
1980,54.24533876081364
1981,81.20357623298706
1982,78.78385445341749
1983,74.84509533410201
1984,74.40480455835362
1985,76.57776437574262
1986,74.82033347458007
1987,66.1518931621421
1988,48.258958081776136
1989,45.537054679710145
1990,44.292057850816654
1991,44.17676460283702
1992,42.20917835548013
1993,41.66019094925108
1994,43.511069751357965
1995,46.560153169320905
1996,48.600127931964295
1997,46.52267693969629
1998,45.284802032797266
1999,46.91177595235491
2000,49.034761740419576
2001,45.96179616101195
2002,44.60333126778853
2003,44.4886026055706
2004,44.63648945721292
2005,43.73829726135622
2007,17.681116665379147
2008,18.32128004030341
2009,16.689737416069836
2010,16.59537067873155
2011,16.647359689065116
2012,15.87230111914053
2013,16.039770111299458
2014,14.980261976785084
2015,13.941038156196987
2016,25.647424871903734
